,id,alternate_issns,alternate_names,alternate_urls,issn,name,type,url
73,30e87252-8c44-4cfa-bea4-ce795e2b0114,[],"['Journal of Contemporary Accounting & Economics', 'J Contemp Account  Econ', 'J Contemp Account Econ']",[],1815-5669,Journal of Contemporary Accounting and Economics,journal,https://www.journals.elsevier.com/journal-of-contemporary-accounting-and-economics
74,ba480d58-720e-42e8-b7f0-92d535bf2a76,[],['Organ Inst q'],[],0474-4748,Organ Institute quarterly,,
75,3c86de35-ed43-41a0-ab2a-8d16844c12d6,[],['Class Math'],[],1431-0821,Classics in Mathematics,,http://www.springer.com/series/3242
76,056703a1-9aa3-493c-88ee-38274aafa131,[],['Matter J New Mater Res'],[],2604-7551,Matter Journal of New Materialist Research,journal,https://revistes.ub.edu/index.php/matter
77,55f5c609-0d32-4ed4-bd79-f0dff954a50a,[],['Ícone Rev bras história arte'],['https://seer.ufrgs.br/index.php/icone/index'],2359-3792,Ícone: Revista brasileira de história da arte,,https://seer.ufrgs.br/index.php/icone
78,856d19e0-a102-40a5-ae68-7676bb1df5ff,[],['Teknoin'],[],0853-8697,Teknoin,,https://journal.uii.ac.id/jurnal-teknoin
79,684f1eee-0b7d-4663-ac37-eec7ed504098,[],"['Int Rev Econ  Finance', 'International Review of Economics & Finance', 'Int Rev Econ Finance']",['http://www.sciencedirect.com/science/journal/10590560'],1059-0560,International Review of Economics and Finance,journal,https://www.journals.elsevier.com/international-review-of-economics-and-finance
80,4a40a4ad-18c9-4334-bee6-68bf8773d570,[],['Fremont dly j'],[],2328-0719,Fremont daily journal,,
81,9ef4f3f1-42ac-4dcc-b03f-e92cda708605,[],['Gend rovné prílezitosti vyzkum'],"['https://www.genderonline.cz/', 'http://www.genderonline.cz/index.php?page=prehled&rubrika=1']",1213-0028,Gender rovné prílezitosti vyzkum,,https://www.ceeol.com/search/journal-detail?id=367
82,d46f9174-0ffc-4862-8c1c-785449d8e788,[],['Nat Resour Model'],"['https://math.la.asu.edu/~rmmc/nrm/all.htm', 'http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1939-7445']",0890-8575,Natural Resource Modeling,journal,http://www.blackwell-synergy.com/loi/nrm
83,949fb7ae-1179-4b1e-b3ad-ce25bc351eb4,[],"['Srx Veterinary Science', 'SRX Vet Sci', 'Srx Vet Sci']",[],2090-1178,SRX Veterinary Science,journal,
84,8d598095-ec6c-4d81-98ac-e2b0ab6a1387,[],[],"['http://www.scielo.org.mx/scielo.php?lng=en&pid=0185-3082&script=sci_serial', 'https://revistas-filologicas.unam.mx/acta-poetica/index.php/ap', 'http://www.journals.unam.mx/index.php/rap', 'https://revistas-filologicas.unam.mx/acta-poetica/index.php/ap/index', 'http://www.scielo.org.mx/scielo.php?lng=es&nrm=iso&pid=0185-3082&rep=&script=sci_serial']",0185-3082,Acta Poética,journal,http://www.sciencedirect.com/science/journal/01853082
85,567c0bf2-36f8-4fb1-9432-f294fa38171b,[],"[""Bibl l'institut rech jurid Sorbonne  André Tunc""]",[],2107-1691,Bibliothèque de l'Institut de recherche juridique de la Sorbonne - André Tunc,,https://irjs.univ-paris1.fr/irjs-editions/noscollectionsjuridiques/collectionbibliothqueandrtu/
86,424378d3-10da-42bc-a925-c47e941305cb,[],['J Physician Assist Educ'],[],1941-9430,The Journal of Physician Assistant Education,journal,http://www.paeaonline.org/search/search.cfm
87,744dcffb-d949-4e04-9664-bc7bf50827e9,[],['Toxin Rev'],['http://www.informapharmascience.com/txr'],1556-9543,Toxin Reviews,journal,http://informahealthcare.com/loi/txr
88,28e91354-c982-4d5c-9092-1507c88af01f,[],['ISP-Schriftenreihe'],[],1868-2324,ISP-Schriftenreihe,journal,
89,19c71957-ab42-4eea-95e3-0ae7799919e2,[],['Soins Chir (paris Fr  1982'],[],0249-6429,"Soins. Chirurgie (Paris, France : 1982)",,
90,c9d8c71a-3afe-4a3e-972e-e99a670cb52c,[],['J Konseling Komprehensif Kaji Teor dan Prakt Bimbing dan Konseling'],[],2355-7303,Jurnal Konseling Komprehensif: Kajian Teori dan Praktik Bimbingan dan Konseling,journal,
91,9029f17b-ae07-4800-b1b0-ea01f91f24bf,[],['ATW Int Z Kernenerg'],[],1431-5254,ATW. Internationale Zeitschrift für Kernenergie,,http://www.kernenergie.de/kernenergie/publikationen/
92,3fd68478-f2b7-4b20-9eb4-c3fdec9c2f51,['1741-0533'],[],[],1740-925X,Neuron Glia Biology,journal,http://journals.cambridge.org/action/displayJournal?jid=NGB
93,99fc9866-128c-43c0-a417-53291d3dfce3,[],['METASASTRA J Penelit Sastra'],[],2085-7268,METASASTRA Jurnal Penelitian Sastra,,http://ejurnalbalaibahasa.id/index.php/metasastra
94,143ca38c-d057-4cec-b62c-2c179da702ab,[],['Tla-melaua Rev Cienc Sociales'],['http://www.scielo.org.mx/scielo.php?lng=en&pid=1870-6916&script=sci_serial'],1870-6916,Tla-Melaua Revista de Ciencias Sociales,,http://www.apps.buap.mx/ojs3/index.php/tlamelaua/index
95,f464e991-54b5-42a6-bc66-67374effd520,[],['Rev Prog Color Relat Top'],[],0557-9325,Review of Progress in Coloration and Related Topics,journal,https://onlinelibrary.wiley.com/journal/14784408
96,79402b0a-24a8-4193-a138-f2130e671441,['1542-6270'],"['Drug Intell  Clin Pharm', 'Dicp-the ann pharmacother', 'Dicp-The annals of pharmacotherapy']",[],0012-6578,Drug Intelligence & Clinical Pharmacy,journal,https://journals.sagepub.com/home/aop
97,2ce01232-181e-46e8-bc24-3b6d67362561,[],"[""J général cour ville conten tout ce qui est décidé à l'assemblée nationale à v Paris dans dist  nouv authentiques prov ainsi que anecdote intéress""]",['https://www.retronews.fr/titre-de-presse/journal-general-de-la-cour-et-de-la-ville'],2417-1808,"Journal général de la cour et de la ville, contenant tout ce qui est décidé à l'Assemblée nationale, à l'Hôtel-de-Ville de Paris, dans les districts, & les nouvelles authentiques de la province, ainsi que des anecdotes intéressantes",journal,http://gallicaintramuros.bnf.fr/ark:/12148/cb32801365p/date
98,63754bfc-d7b7-418f-b67d-e99efc8e5222,['2218-9122'],['Azerbaijan archeol'],[],1027-3875,Azerbaijan archeology,,https://web.archive.org/web/20121011002149/http:/jas-khazar.org/
99,b029dc6d-8e7b-4c77-9e57-39b5ada402a5,[],['Med educ Suppl'],[],1352-3929,Medical education. Supplement,,
